number_of_clusters,silhouette_score,smallest_cluster_size,largest_cluster_size
3,0.010765314136762261,154,755
4,0.010670006735669082,69,712
5,0.010950478251943941,45,701
6,0.010821527760333622,57,546
7,0.010463688362942132,39,540
8,0.012806178921133967,44,309
9,0.012211692556973784,22,419
10,0.013180469928779194,28,380
