cluster_id,pain_point_id,review_count,cluster_negative_reviews,pain_point_share,sufficient_review_coverage
0,6,78,215,0.363,True
0,1,76,215,0.353,True
0,5,24,215,0.112,True
0,0,18,215,0.084,True
0,3,15,215,0.07,True
0,4,2,215,0.009,True
0,2,1,215,0.005,True
0,7,1,215,0.005,True
1,6,151,289,0.522,True
1,2,49,289,0.17,True
1,1,27,289,0.093,True
1,3,19,289,0.066,True
1,4,13,289,0.045,True
1,7,9,289,0.031,True
1,8,8,289,0.028,True
1,5,7,289,0.024,True
1,0,6,289,0.021,True
2,6,73,115,0.635,True
2,2,12,115,0.104,True
2,3,9,115,0.078,True
2,5,6,115,0.052,True
2,7,4,115,0.035,True
2,0,3,115,0.026,True
2,1,3,115,0.026,True
2,8,3,115,0.026,True
2,4,2,115,0.017,True
3,6,29,80,0.362,True
3,2,26,80,0.325,True
3,4,15,80,0.188,True
3,0,3,80,0.038,True
3,3,3,80,0.038,True
3,8,2,80,0.025,True
3,5,1,80,0.012,True
3,7,1,80,0.012,True
4,6,24,35,0.686,True
4,7,4,35,0.114,True
4,1,3,35,0.086,True
4,5,2,35,0.057,True
4,3,1,35,0.029,True
4,4,1,35,0.029,True
5,6,49,84,0.583,True
5,1,10,84,0.119,True
5,4,8,84,0.095,True
5,7,7,84,0.083,True
5,5,5,84,0.06,True
5,0,3,84,0.036,True
5,3,2,84,0.024,True
6,6,134,223,0.601,True
6,1,28,223,0.126,True
6,0,20,223,0.09,True
6,5,14,223,0.063,True
6,7,12,223,0.054,True
6,3,10,223,0.045,True
6,2,3,223,0.013,True
6,4,2,223,0.009,True
7,6,25,47,0.532,True
7,1,7,47,0.149,True
7,5,4,47,0.085,True
7,7,4,47,0.085,True
7,3,3,47,0.064,True
7,0,2,47,0.043,True
7,4,2,47,0.043,True
8,6,141,271,0.52,True
8,3,40,271,0.148,True
8,2,32,271,0.118,True
8,1,19,271,0.07,True
8,0,10,271,0.037,True
8,5,10,271,0.037,True
8,7,9,271,0.033,True
8,8,8,271,0.03,True
8,4,2,271,0.007,True
9,2,95,223,0.426,True
9,6,70,223,0.314,True
9,4,25,223,0.112,True
9,7,11,223,0.049,True
9,3,7,223,0.031,True
9,5,5,223,0.022,True
9,8,5,223,0.022,True
9,0,4,223,0.018,True
9,1,1,223,0.004,True
10,6,38,102,0.373,True
10,4,30,102,0.294,True
10,2,17,102,0.167,True
10,1,6,102,0.059,True
10,5,5,102,0.049,True
10,3,3,102,0.029,True
10,0,2,102,0.02,True
10,8,1,102,0.01,True
11,7,31,74,0.419,True
11,6,27,74,0.365,True
11,1,12,74,0.162,True
11,5,3,74,0.041,True
11,3,1,74,0.014,True
12,6,78,193,0.404,True
12,2,38,193,0.197,True
12,4,24,193,0.124,True
12,1,14,193,0.073,True
12,0,11,193,0.057,True
12,5,10,193,0.052,True
12,8,7,193,0.036,True
12,7,6,193,0.031,True
12,3,5,193,0.026,True
13,6,119,200,0.595,True
13,5,23,200,0.115,True
13,7,16,200,0.08,True
13,1,14,200,0.07,True
13,3,10,200,0.05,True
13,0,8,200,0.04,True
13,2,7,200,0.035,True
13,4,3,200,0.015,True
14,6,30,43,0.698,True
14,1,5,43,0.116,True
14,5,5,43,0.116,True
14,7,3,43,0.07,True
15,6,23,38,0.605,True
15,5,6,38,0.158,True
15,1,4,38,0.105,True
15,0,2,38,0.053,True
15,3,2,38,0.053,True
15,7,1,38,0.026,True
16,6,92,170,0.541,True
16,0,20,170,0.118,True
16,4,15,170,0.088,True
16,1,13,170,0.076,True
16,2,10,170,0.059,True
16,5,9,170,0.053,True
16,7,6,170,0.035,True
16,3,3,170,0.018,True
16,8,2,170,0.012,True
17,6,85,284,0.299,True
17,4,73,284,0.257,True
17,2,58,284,0.204,True
17,1,16,284,0.056,True
17,3,16,284,0.056,True
17,5,15,284,0.053,True
17,0,7,284,0.025,True
17,7,7,284,0.025,True
17,8,7,284,0.025,True
18,6,24,45,0.533,True
18,1,9,45,0.2,True
18,0,8,45,0.178,True
18,4,2,45,0.044,True
18,7,2,45,0.044,True
